id,sse,vr,status,name
10878,0x1400f7210,0x1401077c0,3,RE::Offset::BGSDefaultObjectManager::GetSingleton
10979,0x1400f9e90,0x14010a440,3,RE::Offset::BSString::Set_CStr
11045,0x1400fcfe0,0x14010d590,3,RE::Offset::MemoryManager::GetSingleton
11183,0x1401007f0,0x140110da0,3,RE::MagicItem::IsValid
11213,0x140101a30,0x140111fe0,3,RE::Offset::MagicItem::CalculateCost
11216,0x140101cc0,0x140112270,3,RE::Offset::MagicItem::GetCostliestEffectItem
11308,0x140104ad0,0x1401150c0,3,RE::Offset::FixedStrings::GetSingleton
11483,0x14010f5c0,0x14011fba0,3,RE::Offset::ExtraDataList::SetInventoryChanges
11633,0x1401172f0,0x1401278d0,3,RE::RE:ExtradataList::setLinkedRef
11903,0x140125d80,0x140136360,3,RE::Offset::ExtraDataList::SetExtraFlags
12176,0x140131990,0x140142140,3,RE::Offset::ExtraDataList::Add
12193,0x1401320f0,0x1401428a0,3,RE::Offset::CreateRefHandle
12204,0x1401329d0,0x140143180,3,RE::Offset::LookupReferenceByHandle
12272,0x1401349d0,0x140145380,3,RE::ExtraLock::REFR_LOCK::GetLockLevel
12626,0x14013c740,0x14014d130,3,RE::ExtraTextDisplayData::GetDisplayName
13177,0x140155090,0x140165ae0,3,RE::TES::Getcell
13212,0x140157360,0x140167db0,3,RE::TES::GetWaterHeight
13530,0x1401652d0,0x140175a10,3,RE::Offset::UIMessageQueue::AddMessage
13657,0x1401713d0,0x140181b80,3,RE::Offset::TESDataHandler::LoadScripts
13789,0x140177790,0x1401876a0,3,RE::Offset::Sky::GetSingleton
13897,0x14017d4c0,0x14018d2a0,3,RE::Offset::TESFile::GetFormType
13898,0x14017d550,0x14018d330,3,RE::Offset::TESFile::Seek
13902,0x14017d910,0x14018d6f0,3,RE::Offset::TESFile::GetCurrentSubRecordType
13903,0x14017d960,0x14018d740,3,RE::Offset::TESFile::SeekNextSubrecord
13904,0x14017da10,0x14018d7f0,3,RE::Offset::TESFile::ReadData
13923,0x14017e4b0,0x14018e210,3,RE::Offset::TESFile::Duplicate
14108,0x140186790,0x1401964c0,3,RE::ScriptEventSourceHolder::GetSingleton
14127,0x140187040,0x140196d70,3,RE::Offset::BGSIdleCollection::Ctor
14179,0x1401894f0,0x140199220,3,RE::BGSOpenCloseForm::SetOpenState
14180,0x140189750,0x140199480,3,RE::BGSOpenCloseForm::SetCloseState
14189,0x140189e30,0x140199b60,3,RE::Offset::TESObjectREFR::PlayAnimation
14190,0x140189fc0,0x140199cf0,3,RE::ScriptEventSourceHolder::SendOpenCloseEvent
14399,0x140190480,0x1401a01b0,3,RE::Offset::TESDescription::GetDescription
14509,0x1401957e0,0x1401a5510,2,RE::TESForm::AddCompileIndex
14704,0x14019d510,0x1401ad250,3,RE::TESHarvestedEvent::GetEventSource
15491,0x1401c60a0,0x1401d6200,3,RE::Offset::BipedAnim::Dtor
15494,0x1401c61a0,0x1401d6530,3,RE::Offset::BipedAnim::RemoveAllParts
15495,0x1401c6270,0x1401d6600,3,FEC::UpdateCollision::RemoveNodeFromScene
15501,0x1401c6f90,0x1401d7450,3,FEC::ProcessObject::attachArmorAddon
15535,0x1401cafb0,0x1401db9e0,3,FEC::ProcessGeometry::processAttachedGeometry
15547,0x1401cc7c0,0x1401dd210,3,RE::NiAVObject::ClearDecals
15576,0x1401cdd40,0x1401de820,2,RE::Offset::BSDismemberSkinInstance::UpdateDismemberPartion
15757,0x1401d66e0,0x1401e7280,3,RE::Offset::InventoryEntryData::GetValue
15767,0x1401d6ba0,0x1401e7740,3,RE::InventoryEntryData::IsQuestObject
15779,0x1401d7330,0x1401e7ed0,3,RE::GetArmorFinalRating
15782,0x1401d7590,0x1401e8130,3,RE::Offset::InventoryEntryData::IsOwnedBy
15800,0x1401d8d10,0x1401e98b0,3,RE::Offset::TESObjectREFR::InitInventoryIfRequired
15802,0x1401d8e40,0x1401e99e0,3,RE::TESObjectREFR::MakeInventoryChanges
15806,0x1401d9040,0x1401e9be0,3,RE::InventoryChanges::GetWornMask
15807,0x1401d9080,0x1401e9c20,3,RE::Offset::TESObjectREFR::GetStealValue
15812,0x1401d9200,0x1401e9da0,3,RE::Offset::InventoryChanges::Ctor
15813,0x1401d92f0,0x1401e9e90,3,RE::Offset::InventoryChanges::Dtor
15829,0x1401e08b0,0x1401f1470,3,RE::InventoryChanges::InitScripts
15858,0x1401e5390,0x1401f5f50,2,papyrus_extender::fave_util::item::favorite
15859,0x1401e58f0,0x1401f64b0,2,papyrus_extender::fave_util::item::unfavorite
15889,0x1401e9d90,0x1401fa900,3,RE::InventoryChanges::InitLeveledItems
15890,0x1401ea020,0x1401fab90,3,RE::InventoryChanges::InitFromContainerExtra
15907,0x1401ecc60,0x1401fd7d0,3,RE::Offset::InventoryChanges::SetUniqueID
15908,0x1401ecd30,0x1401fd8a0,2,RE::Offset::InventoryChanges::GetNextUniqueID
15909,0x1401ece20,0x1401fd990,3,RE::Offset::InventoryChanges::TransferItemUID
15967,0x1401ee670,0x1401ff150,3,RE::BSPointerHandleManagerInterface::GetHandle
15980,0x1401ef330,0x1401ffe10,3,RE::Offset::Inventory::GetEventSource
16084,0x1401f5390,0x140205ef0,3,RE::Offset::LocalMapCamera::Ctor
16089,0x1401f5750,0x1402062b0,3,RE::Offset::LocalMapCamera::SetNorthRotation
17470,0x14022a8c0,0x14023bc10,3,RE::BooksRead::GetEventSource
18474,0x140262290,0x140273830,3,RE::TESObjectCELL::GetLocation
18536,0x1402654c0,0x140276a90,3,RE::TESObjectCELL::GetbhkWorld
19201,0x14028b940,0x14029d070,3,RE::TESObjectREFR::HasQuestObject
19277,0x14028e3c0,0x14029faf0,3,RE::TESObjectREFR::GetWeightInContainer
19323,0x1402945e0,0x1402a5cf0,3,RE::Offset::TESObjectREFR::FindReferenceFor3D
19338,0x140295060,0x1402a6760,3,RE::Actor::IsLimbGone
19354,0x1402961f0,0x1402a78f0,3,RE::Offset::TESObjectREFR::GetDisplayFullName
19400,0x14029a330,0x1402aba40,3,RE::TESObjectREFR::IsCrimeToActivate
19666,0x1402a2070,0x1402b37e0,3,RE::ScriptEventSourceHolder::SendActivateEvent
19789,0x1402a6670,0x1402b7de0,3,RE::Offset::TESObjectREFR::GetOwner
19805,0x1402a6ee0,0x1402b8650,3,RE::TESObjectREFR::IsAnOwner
19818,0x1402a74c0,0x1402b8c30,3,RE::Offset::TESObjectREFR::GetLock
19857,0x1402a8cc0,0x1402ba430,3,RE::TESObjectREFR::InitChildActivates
20095,0x1402b63b0,0x1402c7b20,3,RE::TESWorldSpace::GetSkyCell
20470,0x1402c53d0,0x1402d6b40,3,RE::Offset::BGSListForm::AddForm
21416,0x1402e75f0,0x1402f8af0,3,RE::Offset::Script::CompileAndRun
22843,0x140326460,0x140335ca0,3,RE::Offset::MessageDataFactoryManager::GetSingleton
23073,0x14032ece0,0x14033e5a0,3,RE::ApplyPerkEntries
24012,0x140355940,0x140365200,3,RE::TESFaction::SetFactionFightReaction
24206,0x140360480,0x14036fd80,3,RE::Offset::TESNPC::SetSkinFromTint
24207,0x1403606d0,0x14036ffd0,3,RE::Offset::TESNPC::UpdateNeck
24236,0x140364ff0,0x140374950,3,FEC::processArmorAttach::PerformNPCDismember
24246,0x140365bf0,0x140375550,3,RE::Offset::TESNPC::ChangeHeadPart
24274,0x140368a20,0x140378380,3,RE::Offset::TESNPC::HasOverlays
24275,0x140368b30,0x140378490,3,RE::Offset::TESNPC::GetBaseOverlays
24276,0x140368bc0,0x140378520,3,RE::Offset::TESNPC::GetNumBaseOverlays
24481,0x140370910,0x1403802b0,3,RE::Offset::TESQuest::EnsureQuestStarted
24486,0x140370e90,0x140380830,3,RE::Offset::TESQuest::ResetQuest
24537,0x140378760,0x140388110,3,RE::TESQuest::CreateRefHandleByAliasID
24985,0x14038d990,0x14039d1c0,3,RE::TESTopicInfo::ResponseData::PopulateResponseText
25466,0x1403a4dd0,0x1403b4940,3,RE::Offset::TESHavokUtilities::FindCollidableRef
25638,0x1403aebd0,0x1403be8d0,3,splashes_of_skyrim::RainManager::ToggleWaterRipples
25684,0x1403b1c80,0x1403c1a20,2,papyrus_extender::events::game::weatherevent::target_0x416
25822,0x1403bcf40,0x1403ccd90,3,RE::AIForumulas::ComputePickpocketSuccess
25858,0x1403be980,0x1403ce200,3,RE::ActorValueOwner::GetArmorRatingSkillMultiplier
25977,0x1403c38e0,0x1403d3160,3,RE::BSFaceGenAnimationData::Reset
25980,0x1403c3f00,0x1403d3780,3,RE::BSFaceGenAnimationData::SetExpressionOverride
26259,0x1403d2a60,0x1403e23d0,3,RE::Offset::BSFaceGenManager::PrepareHeadPartForShaders
26616,0x1403e5250,0x1403f4da0,3,RE::Offset::ActorValueOwner::GetClampedActorValue
29074,0x1404447a0,0x1404542f0,3,RE::TESCondition::IsTrue
29090,0x1404454c0,0x140455010,3,RE::TESConditionItem::IsTrue
29219,0x14044bbf0,0x14045b740,3,RE::TESObjectCELL::PlaceParticleEffect
29303,0x140452550,0x140462500,3,RE::NiAVObject::ClearWeaponBlood
31410,0x1404c8880,0x1404d8a40,3,RE::Offset::BGSWaterSystemManager::CreateBulletWaterDisplacement
31717,0x1404d7f80,0x1404e8120,3,RE::Offset::BGSStoryTeller::BeginStartUpQuest
31718,0x1404d80a0,0x1404e8240,3,RE::Offset::BGSStoryTeller::BeginShutDownQuest
32290,0x1404f5c80,0x140505f60,3,RE::Offset::TESCamera::SetState
33286,0x14053e380,0x140541100,3,RE::Offset::ActiveEffect::Dispel
