id,fo4,vr,status,name
3,0x14100dc80,0x14108f950,4,FUN_14100dc80
9,0x140378e00,0x14035f510,2,FUN_140378e00
17,0x140d3c220,0x140d870b0,2,FUN_140d3c220
37,0x14371abe0,0x143742df8,2,DAT_14371abe0
55,0x1437141d4,0x14373bae4,2,DAT_1437141d4
60,0x142dfead0,0x142e40660,2,s_References_to_variables_from_a_B_142dfead0
69,0x142c95da0,0x142ccb140,2,s_IsNullPackageData_>>_%0.2f_142c95da0
123,0x142e98938,0x142e97518,2,PTR_FUN_142e98938
142,0x1459d96dc,0x145a3ad6c,2,DAT_1459d96dc
163,0x14384e8b0,0x14388ac10,2,DAT_14384e8b0
213,0x142d68d18,0x142da9928,2,PTR_FUN_142d68d18
225,0x1413370d0,0x1413bbd10,4,FUN_1413370d0
231,0x142dbc658,0x142dfe218,2,DAT_142dbc658
237,0x142d07fc0,0x142d3c7b8,2,s_DialogueCamera_Input_Layer_142d07fc0
239,0x14037ceb0,0x1403635a0,2,FUN_14037ceb0
254,0x143080ca0,0x1430a0fd0,2,s_Static_functions_cannot_set_memb_143080ca0
260,0x1417036f0,0x1417840f0,4,FUN_1417036f0
263,0x1413de350,0x1414634a0,2,FUN_1413de350
264,0x14058ce60,0x140577980,4,FUN_14058ce60
294,0x1427b84d0,0x14278ae60,2,FUN_1427b84d0
324,0x14386d190,0x1438c9b50,2,PTR_PTR_FUN_14386d190
362,0x1402f4510,0x1402da2f0,2,FUN_1402f4510
380,0x140829860,0x14081a070,2,FUN_140829860
382,0x141030610,0x1410b2320,4,FUN_141030610
395,0x145adeda8,0x145b40108,2,DAT_145adeda8
397,0x1436e9c30,0x143710b38,2,DAT_1436e9c30
457,0x1436cf400,0x1436f5590,2,DAT_1436cf400
503,0x142e06c30,0x142e487c0,2,DAT_142e06c30
524,0x14232e4b0,0x1423b85c0,2,FUN_14232e4b0
572,0x140786690,0x140774960,4,FUN_140786690
607,0x142c762b8,0x142cab008,2,PTR_LAB_142c762b8
623,0x14076be60,0x14075a120,4,FUN_14076be60
