aeid,ae_addr
1,1022
2,102d
3,1038
4,1044
5,1072
6,1093
7,10b4
8,10d0
9,1160
10,11cc
11,1258
12,1294
13,12fc
15,1328
16,135c
18,13ce
19,13d8
20,13dc
21,1414
22,144c
23,1508
24,15c8
25,1684
26,16e4
27,178f
28,1794
29,182e
30,1841
31,184c
32,186c
33,1884
34,18f8
35,193a
36,1948
37,194d
38,1952
39,1962
40,1966
41,1984
42,1994
43,1999
44,199e
45,19b0
46,19b5
47,19ba
48,19c7
49,19d0
51,1a04
52,1a2c
53,1f64
54,1f9c
55,1fd8
56,2078
57,2108
58,228c
59,22e0
61,2398
62,2850
63,2a14
64,2a78
65,2b8c
66,2c08
67,2cf0
68,2fc4
69,307c
70,3174
71,3268
72,32e8
73,33e4
74,34e0
75,34f0
76,3510
77,3530
78,3560
79,3590
80,35a0
81,35c0
82,3c40
83,46a0
84,4b70
85,5080
86,5390
87,53d0
88,53ff
89,5403
90,5412
91,5430
92,545f
93,5463
94,5479
95,547c
96,5670
97,5c10
98,64d0
99,6890
100,6c90
101,6f60
102,6f90
103,6fbc
104,6fc0
105,6fcf
106,6fe0
107,700c
108,7010
109,7026
110,702c
111,71e0
112,7704
113,7b90
114,7bd0
115,7c00
116,7c40
117,7cb0
118,7d20
119,7d90
120,7e00
121,7e70
122,7ee0
123,7f50
124,7fc0
125,8030
126,80a0
127,8110
128,8180
129,81f0
130,8260
131,82d0
132,8340
133,83b0
134,8420
135,8450
136,8490
137,84a0
138,84e0
139,84f0
140,8560
141,85d0
142,8640
143,86c0
144,8700
145,8730
146,8770
147,87a0
148,8820
149,88a0
150,8920
151,89a0
152,8a20
153,8aa0
154,8b20
155,8ba0
156,8c20
157,8ca0
158,8d20
159,8da0
160,8e10
161,8e80
162,8ef0
163,8f60
164,8fd0
165,9040
166,90b0
167,9120
168,9190
169,9200
170,9270
171,92e0
172,9350
173,93c0
174,9430
175,94a0
176,9510
177,9580
178,95f0
179,9660
180,96d0
181,9740
182,97b0
183,9820
184,9890
185,9900
186,9970
187,99e0
188,9a50
189,9ac0
190,9b30
191,9ba0
192,9c10
193,9c80
194,9cf0
195,9d60
196,9dd0
197,9e40
198,9eb0
199,9f20
200,9f90
201,a000
202,a070
203,a0e0
204,a120
205,a160
206,a190
207,a200
208,a280
209,a300
210,a380
211,a400
212,a480
213,a500
214,a580
215,a600
216,a680
217,a700
218,a780
219,a800
220,a880
221,a8f0
222,a960
223,a9d0
224,aa40
225,aab0
226,ab20
227,ab90
228,ac00
229,ac70
230,ace0
231,ad50
232,adc0
233,ae30
234,aea0
235,af10
236,af80
237,aff0
238,b060
239,b0d0
240,b140
241,b1b0
242,b220
243,b290
244,b300
245,b330
246,b3b0
247,b430
248,b4a0
249,b4b0
250,b4c0
251,b530
252,b5a0
253,b610
254,b680
255,b6c0
256,b6f0
257,b760
258,b7d0
259,b840
260,b8b0
261,b920
262,b990
263,ba00
264,ba70
265,baf0
266,bb70
267,bbf0
268,bc70
269,bcf0
270,bd70
271,bdf0
272,be70
273,bef0
274,bf70
275,bff0
276,c070
277,c0f0
278,c170
279,c1f0
280,c270
281,c2f0
282,c370
283,c3f0
284,c470
285,c4f0
286,c560
287,c5e0
288,c650
289,c6c0
290,c730
291,c7a0
292,c810
293,c880
294,c8f0
295,c960
296,c9d0
297,ca40
298,cab0
299,cb20
300,cb90
301,cc00
302,cc70
303,cce0
304,cd50
305,cdc0
306,ce30
307,cea0
308,cf10
309,cf80
310,cff0
311,d060
312,d090
313,d0c0
314,d0f0
315,d120
316,d150
317,d180
318,d1b0
319,d1e0
320,d210
321,d240
322,d270
323,d2a0
324,d2d0
325,d300
326,d330
327,d360
328,d390
329,d3c0
330,d3f0
331,d420
332,d450
333,d480
334,d4b0
335,d4e0
336,d510
337,d540
338,d570
339,d5a0
340,d5d0
341,d600
342,d630
343,d660
344,d690
345,d6c0
346,d6f0
347,d720
348,d750
349,d780
350,d7b0
351,d7e0
352,d810
353,d840
354,d870
355,d8a0
356,d8d0
357,d900
358,d930
359,d960
360,d990
361,d9c0
362,d9f0
363,da20
364,da50
365,da80
366,dab0
367,dae0
368,db50
369,dbc0
370,dbd0
371,dbe0
372,dbf0
373,dca0
374,dcd0
375,dd40
376,ddb0
377,de20
378,de90
379,df00
380,df70
381,dfe0
382,e050
383,e0c0
384,e130
385,e1a0
386,e210
387,e280
388,e2c0
389,e330
390,e3a0
391,e410
392,e480
393,e4f0
394,e530
395,e570
396,e5e0
397,e620
398,e690
399,e700
400,e730
401,e760
402,e7a0
403,e7e0
404,e850
405,e8d0
406,e950
407,e9d0
408,ea50
409,eac0
410,eb40
411,ebc0
412,ec30
413,ecb0
414,ed30
415,edb0
416,ee30
417,eeb0
418,eee0
419,ef20
420,ef30
421,ef40
422,ef70
423,efe0
424,f020
425,f060
426,f0a0
427,f120
428,f1a0
429,f220
430,f2a0
431,f320
432,f3a0
433,f420
434,f4a0
435,f520
436,f550
437,f5c0
438,f630
439,f660
440,f690
441,f700
442,f770
443,f7e0
444,f850
445,f8c0
446,f930
447,f9a0
448,f9e0
449,fa20
450,fa60
451,faa0
452,fae0
453,fb20
454,fb90
455,fbc0
456,fbd0
457,fc00
458,fc30
459,fca0
460,fd10
461,fd80
462,fdf0
463,fe60
464,fee0
465,ff50
466,ffc0
467,10030
468,100a0
469,10110
470,10120
471,10150
472,101c0
473,10240
474,102c0
475,10340
476,103b0
477,103d0
478,10400
479,10440
480,10460
481,10490
482,10500
483,10570
484,105e0
485,10650
486,106c0
487,10730
488,107b0
489,10830
490,108b0
491,10930
492,109b0
493,10a30
494,10ab0
495,10b20
496,10b90
497,10ba0
498,10bd0
499,10be0
500,10bf0
501,10c60
502,10cd0
503,10d40
504,10d50
505,10d80
506,10e00
507,10e10
508,10e20
509,10e30
510,10e70
511,10ea0
512,10f20
513,10fa0
514,11020
515,110a0
516,11120
517,111a0
518,11220
519,112a0
520,11320
521,113a0
522,11420
523,114a0
524,11520
525,115a0
526,11610
527,11680
528,116f0
529,11760
530,117d0
531,11840
532,118b0
533,11920
534,11990
535,11a00
536,11a70
537,11ae0
538,11b50
539,11bc0
540,11c30
541,11ca0
542,11d10
543,11d80
544,11df0
545,11e60
546,11ed0
547,11f40
548,11fb0
549,12020
550,12090
551,12100
552,12170
553,121e0
554,12250
555,122c0
556,12330
557,123a0
558,12410
559,12480
560,124f0
561,12560
562,12590
563,125c0
564,12630
565,126a0
566,12720
567,12790
568,12800
569,12820
570,12850
571,12880
572,128b0
573,12920
574,12980
575,12990
576,129a0
577,129c0
578,129e0
579,12a50
580,12ad0
581,12b50
582,12bd0
583,12c00
584,12c80
585,12cc0
586,12ce0
587,12cf0
588,12d20
589,12d90
590,12e10
591,12e90
592,12f10
593,12f90
594,13010
595,13090
596,13110
597,13190
598,13210
599,13290
600,13310
601,13390
602,13410
603,13490
604,13500
605,13570
606,135e0
607,13650
608,136c0
609,13730
610,137a0
611,13810
612,13880
613,138f0
614,13960
615,139d0
616,13a40
617,13ab0
618,13b20
619,13b90
620,13c00
621,13c70
622,13ce0
623,13d50
624,13dc0
625,13e30
626,13ea0
627,13f10
628,13f80
629,13ff0
630,14060
631,140d0
632,14140
633,141b0
634,14220
635,14290
636,14300
637,14370
638,143e0
639,14450
640,144c0
641,14530
642,145a0
643,14610
644,14680
645,146f0
646,14760
647,147d0
648,14840
649,148b0
650,14920
651,14990
652,14a00
653,14a70
654,14ae0
655,14b50
656,14bc0
657,14bf0
658,14c20
659,14c50
660,14c80
661,14cb0
662,14ce0
663,14d10
664,14d40
665,14d70
666,14da0
667,14dd0
668,14e00
669,14e30
670,14e60
671,14e90
672,14ec0
673,14ef0
674,14f20
675,14f50
676,14f80
677,14fb0
678,14fe0
679,15010
680,15040
681,15070
682,150a0
683,150d0
684,15100
685,15130
686,15160
687,15190
688,151c0
689,151f0
690,15220
691,15250
692,15280
693,152b0
694,152e0
695,15310
696,15340
697,15370
698,153a0
699,153d0
700,15400
701,15430
702,15460
703,15490
704,154c0
705,154f0
706,15520
707,15550
708,15580
709,155b0
710,155e0
711,15610
712,15640
713,15670
714,156a0
715,156d0
716,15700
717,15730
718,15760
719,15790
720,157c0
721,157f0
722,15820
723,15850
724,15880
725,158b0
726,158e0
727,15910
728,15940
729,15970
730,159a0
731,159d0
732,15a00
733,15a30
734,15a60
735,15a90
736,15ac0
737,15af0
738,15b20
739,15b50
740,15b80
741,15bb0
742,15be0
743,15c10
744,15c40
745,15c70
746,15ca0
747,15cd0
748,15d00
749,15d30
750,15d60
751,15d90
752,15dc0
753,15df0
754,15e20
755,15e50
756,15e80
757,15eb0
758,15ee0
759,15f10
760,15f40
761,15f70
762,15fa0
763,15fd0
764,16000
765,16030
766,16060
767,16090
768,160b0
769,160f0
770,16130
771,16170
772,161b0
773,161f0
774,16230
775,16260
776,162e0
777,16360
778,163a0
779,163d0
780,16410
781,16440
782,16480
783,164c0
784,16500
785,16530
786,165b0
787,16630
788,166b0
789,16730
790,167b0
791,167f0
792,16830
793,168f0
794,16970
795,169e0
796,16a20
797,16a60
798,16a70
799,16aa0
800,16b20
801,16ba0
802,16be0
803,16c20
804,16c50
805,16c90
806,16d10
807,16d50
808,16d90
809,16e00
810,16e40
811,16eb0
812,16ef0
813,16f30
814,16fa0
815,17010
816,17080
817,17100
818,17180
819,17200
820,17280
821,17300
822,17330
823,173e0
824,17450
825,174c0
826,17530
827,175b0
828,175f0
829,17620
830,17630
831,17640
832,17680
833,176c0
834,176f0
835,17760
836,177a0
837,177d0
838,17840
839,178b0
840,17920
841,17990
842,17a00
843,17a70
844,17ab0
845,17b20
846,17b90
847,17c00
848,17c40
849,17c80
850,17cb0
851,17ce0
852,17d10
853,17d40
854,17d70
855,17da0
856,17dd0
857,17e00
858,17e30
859,17e60
860,17e90
861,17ec0
862,17ef0
863,17f20
864,17f50
865,17f80
866,17fb0
867,17fe0
868,18010
869,18040
870,18070
871,180a0
872,180d0
873,18100
874,18130
875,181b0
876,18230
877,182b0
878,18330
879,183b0
880,18430
881,18470
882,184e0
883,18520
884,18560
885,185a0
886,185d0
887,18600
888,18630
889,186a0
890,18710
891,18780
892,18800
893,18880
894,18900
895,18980
896,18a00
897,18a80
898,18b00
899,18b80
900,18c00
901,18c80
902,18d00
903,18d80
904,18e00
905,18e80
906,18f00
907,18f80
908,19000
909,19040
910,19080
911,190f0
912,19160
913,191d0
914,19240
915,192b0
916,19320
917,19390
918,19400
919,19470
920,194e0
921,19520
922,195a0
923,195e0
924,19660
925,196d0
926,19740
927,19780
928,19790
929,197a0
930,197b0
931,197c0
932,197d0
933,19810
934,19850
935,19880
936,198c0
937,198f0
938,19930
939,19960
940,199d0
941,19a00
942,19a30
943,19a70
944,19aa0
945,19ae0
946,19b00
947,19b40
948,19b80
949,19bc0
950,19c00
951,19c30
952,19c70
953,19ce0
954,19d50
955,19d80
956,19df0
957,19e60
958,19ed0
959,19f40
960,19fc0
961,1a040
962,1a0c0
963,1a130
964,1a1a0
965,1a210
966,1a280
967,1a2f0
968,1a360
969,1a3d0
970,1a400
971,1a430
972,1a470
973,1a480
974,1a490
975,1a500
976,1a580
977,1a600
978,1a670
979,1a6e0
980,1a750
981,1a7c0
982,1a830
983,1a870
984,1a8e0
985,1a8f0
986,1a960
987,1a990
988,1aa00
989,1aa70
990,1aae0
991,1ab60
992,1ab90
993,1abc0
994,1abf0
995,1ac20
996,1ac50
997,1ac80
998,1acb0
999,1ace0
1000,1ad10
1001,1ad40
1002,1ad70
1003,1ada0
1004,1add0
1005,1ae00
1006,1ae30
1007,1ae60
1008,1ae90
1009,1aec0
1010,1aef0
1011,1af20
1012,1af50
1013,1af80
1014,1afb0
1015,1afe0
1016,1b010
1017,1b040
1018,1b070
1019,1b0a0
1020,1b0d0
1021,1b100
1022,1b130
1023,1b160
1024,1b190
1025,1b1c0
1026,1b1f0
1027,1b220
1028,1b250
1029,1b280
1030,1b2b0
1031,1b2e0
1032,1b310
1033,1b340
1034,1b370
1035,1b3a0
1036,1b3d0
1037,1b400
1038,1b430
1039,1b460
1040,1b490
1041,1b4c0
1042,1b4f0
1043,1b520
1044,1b550
1045,1b580
1046,1b5b0
1047,1b5e0
1048,1b610
1049,1b640
1050,1b670
1051,1b6a0
1052,1b710
1053,1b780
1054,1b7b0
1055,1b820
1056,1b860
1057,1b890
1058,1b900
1059,1b970
1060,1b9a0
1061,1ba20
1062,1ba50
1063,1bac0
1064,1baf0
1065,1bb20
1066,1bb90
1067,1bc00
1068,1bc70
1069,1bc90
1070,1bd00
1071,1bd30
1072,1bd70
1073,1bd80
1074,1bdb0
1075,1bdf0
1076,1be30
1077,1be60
1078,1bed0
1079,1bf40
1080,1bfc0
1081,1bff0
1082,1c020
1083,1c050
1084,1c070
1085,1c0b0
1086,1c0e0
1087,1c120
1088,1c160
1089,1c1a0
1090,1c220
1091,1c2a0
1092,1c320
1093,1c360
1094,1c370
1095,1c3b0
1096,1c3f0
1097,1c430
1098,1c470
1099,1c4a0
1100,1c4e0
1101,1c510
1102,1c550
1103,1c590
1104,1c5d0
1105,1c5e0
1106,1c620
1107,1c660
1108,1c6d0
1109,1c710
1110,1c830
1111,1c950
1112,1c9d0
1113,1ca50
1114,1cad0
1115,1cb50
1116,1cc70
1117,1ccb0
1118,1ccf0
1119,1cd30
1120,1cd70
1121,1cdb0
1122,1cdf0
1123,1ce30
1124,1ce70
1125,1cf90
1126,1cfc0
1127,1d000
1128,1d010
1129,1d020
1130,1d030
1131,1d060
1132,1d0a0
1133,1d0e0
1134,1d120
1135,1d160
1136,1d1a0
1137,1d1d0
1138,1d210
1139,1d220
1140,1d230
1141,1d240
1142,1d250
1143,1d280
1144,1d2b0
1145,1d330
1146,1d370
1147,1d380
1148,1d3b0
1149,1d3e0
1150,1d410
1151,1d440
1152,1d470
1153,1d4a0
1154,1d4d0
1155,1d500
1156,1d530
1157,1d560
1158,1d590
1159,1d5c0
1160,1d5f0
1161,1d620
1162,1d650
1163,1d680
1164,1d6b0
1165,1d6e0
1166,1d710
1167,1d740
1168,1d770
1169,1d7a0
1170,1d7d0
1171,1d800
1172,1d830
1173,1d860
1174,1d8a0
1175,1d8e0
1176,1d920
1177,1d950
1178,1d980
1179,1d9b0
1180,1d9e0
1181,1da10
1182,1da40
1183,1da70
1184,1daa0
1185,1dad0
1186,1db00
1187,1db30
1188,1db60
1189,1db90
1190,1dbc0
1191,1dbf0
1192,1dc20
1193,1dc50
1194,1dc80
1195,1dcb0
1196,1dce0
1197,1dd10
1198,1dd40
1199,1dd70
1200,1dda0
1201,1ddd0
1202,1de00
1203,1de30
1204,1de60
1205,1de90
1206,1dec0
1207,1def0
1208,1df20
1209,1df50
1210,1df80
1211,1dfb0
1212,1dfe0
1213,1e010
1214,1e040
1215,1e070
1216,1e0a0
1217,1e0d0
1218,1e100
1219,1e130
1220,1e160
1221,1e190
1222,1e1c0
1223,1e1f0
1224,1e220
1225,1e250
1226,1e280
1227,1e2b0
1228,1e2e0
1229,1e310
1230,1e340
1231,1e370
1232,1e3a0
1233,1e420
1234,1e4a0
1235,1e520
1236,1e5a0
1237,1e620
1238,1e6a0
1239,1e720
1240,1e7a0
1241,1e820
1242,1e8a0
1243,1e920
1244,1e9a0
1245,1e9e0
1246,1ea20
1247,1ea60
1248,1eaa0
1249,1eae0
1250,1eb20
1251,1eb50
1252,1ee70
1253,1eeb0
1254,1eee0
1255,1ef20
1256,1ef60
1257,1efa0
1258,1efd0
1259,1efe0
1260,1f020
1261,1f060
1262,1f0a0
1263,1f0b0
1264,1f0f0
1265,1f130
1266,1f170
1267,1f1b0
1268,1f230
1269,1f2b0
1270,1f2f0
1271,1f370
1272,1f3f0
1273,1f400
1274,1f410
1275,1f420
1276,1f430
1277,1f440
1278,1f450
1279,1f460
1280,1f470
1281,1f4a0
1282,1f4b0
1283,1f4f0
1284,1f530
1285,1f560
1286,1f5d0
1287,1f610
1288,1f680
1289,1f6c0
1290,1f730
1291,1f770
1292,1f7b0
1293,1f7f0
1294,1f830
1295,1f870
1296,1f8b0
1297,1f8f0
1298,1f930
1299,1f970
1300,1f9b0
1301,1f9f0
1302,1fa60
1303,1faa0
1304,1fad0
1305,1fae0
1306,1faf0
1307,1fb70
1308,1fbb0
1309,1fbc0
1310,1fc00
1311,1fc40
1312,1fc80
1313,1fcc0
1314,1fd00
1315,1fd40
1316,1fd80
1317,1fda0
1318,1fde0
1319,1fe10
1320,1fe20
1321,1fe30
1322,1fea0
1323,1ff20
1324,1ffa0
1325,20010
1326,20080
1327,200f0
1328,20160
1329,201d0
1330,20240
1331,202b0
1332,20320
1333,20360
1334,203d0
1335,20440
1336,204b0
1337,20520
1338,20590
1339,20600
1340,20670
1341,206e0
1342,20750
1343,207c0
1344,20830
1345,208a0
1346,20910
1347,20980
1348,209b0
1349,209e0
1350,20a10
1351,20a40
1352,20a70
1353,20aa0
1354,20ad0
1355,20b00
1356,20b30
1357,20b60
1358,20b90
1359,20bc0
1360,20bf0
1361,20c20
1362,20c50
1363,20c80
1364,20cb0
1365,20ce0
1366,20d10
1367,20d40
1368,20d70
1369,20da0
1370,20dd0
1371,20e00
1372,20e10
1373,20e20
1374,20e30
1375,20e70
1376,20f30
1377,20ff0
1378,21060
1379,210a0
1380,210d0
1381,21100
1382,21130
1383,21160
1384,21190
1385,211c0
1386,211f0
1387,21220
1388,21250
1389,21280
1390,212b0
1391,212e0
1392,21310
1393,21340
1394,21370
1395,213a0
1396,213d0
1397,21400
1398,21430
1399,21460
1400,21490
1401,214c0
1402,214f0
1403,21520
1404,21550
1405,21580
1406,215b0
1407,215e0
1408,21610
1409,21640
1410,21670
1411,216a0
1412,216d0
1413,21700
1414,21730
1415,21760
1416,21790
1417,217c0
1418,217f0
1419,21820
1420,21850
1421,21880
1422,218b0
1423,218e0
1424,21910
1425,21940
1426,21970
1427,219a0
1428,219d0
1429,21a00
1430,21a30
1431,21a60
1432,21a90
1433,21ac0
1434,21af0
1435,21b20
1436,21b60
1437,21b70
1438,21be0
1439,21bf0
1440,21c20
1441,21c50
1442,21cd0
1443,21d50
1444,21dd0
1445,21e50
1446,21e90
1447,21f00
1448,21f70
1449,21fe0
1450,22050
1451,220c0
1452,220d0
1453,220e0
1454,22150
1455,22180
1456,22190
1457,221a0
1458,221b0
1459,221c0
1460,22200
1461,22210
1462,22280
1463,222f0
1464,22360
1465,223d0
1466,22440
1467,22450
1468,224c0
1469,224f0
1470,22510
1471,22530
1472,22550
1473,225d0
1474,22650
1475,226d0
1476,22750
1477,227d0
1478,22850
1479,228d0
1480,22950
1481,229d0
1482,22a50
1483,22ad0
1484,22b50
1485,22bd0
1486,22c50
1487,22cd0
1488,22d50
1489,22dd0
1490,22e50
1491,22ed0
1492,22f50
1493,22fd0
1494,23050
1495,230c0
1496,23130
1497,231a0
1498,23210
1499,23290
1500,232c0
1501,23330
1502,233b0
1503,23430
1504,23440
1505,23460
1506,23470
1507,234f0
1508,23570
1509,235e0
1510,23660
1511,236e0
1512,23760
1513,237d0
1514,23840
1515,238b0
1516,238e0
1517,23910
1518,23990
1519,239c0
1520,23a10
1521,23a20
1522,23a50
1523,23ac0
1524,23b40
1525,23b70
1526,23ba0
1527,23bd0
1528,23c00
1529,23c30
1530,23c60
1531,23c90
1532,23cc0
1533,23cf0
1534,23d20
1535,23d50
1536,23d80
1537,23db0
1538,23de0
1539,23e10
1540,23e40
1541,23e70
1542,23ea0
1543,23ed0
1544,23f00
1545,23f30
1546,23f60
1547,23f90
1548,23fc0
1549,23ff0
1550,24020
1551,24050
1552,24080
1553,240b0
1554,240e0
1555,24110
1556,24140
1557,24170
1558,241a0
1559,241d0
1560,24200
1561,24230
1562,24260
1563,24290
1564,242c0
1565,242f0
1566,24320
1567,24350
1568,24380
1569,243b0
1570,243e0
1571,24410
1572,24440
1573,24470
1574,244a0
1575,244d0
1576,24500
1577,24530
1578,24560
1579,24590
1580,245c0
1581,24640
1582,24650
1583,24680
1584,246f0
1585,24760
1586,247e0
1587,24860
1588,248e0
1589,24960
1590,24980
1591,24a00
1592,24a80
1593,24b00
1594,24b80
1595,24c00
1596,24c80
1597,24d00
1598,24d80
1599,24e00
1600,24e80
1601,24f00
1602,24f80
1603,25000
1604,25080
1605,25100
1606,25180
1607,25200
1608,25280
1609,25300
1610,25370
1611,253e0
1612,25410
